Unnamed: 0,views,likes,dislikes,comment,duration,category_A,category_B,category_C,category_D,category_E,category_F,category_G,adview
0,138047869,283824.0,15626.0,32271.0,273.0,0,0,0,0,0,0,1,58
1,87934318,122141.0,8575.0,7292.0,288.0,0,0,0,0,0,0,1,225
2,79187040,258611.0,20335.0,8789.0,262.0,0,0,0,0,0,0,1,226
3,67264958,20338.0,14184.0,1527.0,941.0,0,0,0,0,1,0,0,56
4,65872986,168796.0,16058.0,16804.0,374.0,0,0,0,0,1,0,0,691
6,60013005,159808.0,35340.0,36336.0,278.0,0,0,0,1,0,0,0,39
7,55332157,139259.0,11843.0,5511.0,245.0,0,0,0,0,0,0,1,60
8,54336940,128004.0,8629.0,6650.0,289.0,0,0,0,0,0,0,1,2
9,53305971,149582.0,9610.0,8237.0,283.0,0,0,0,0,0,0,1,89
10,50238695,114575.0,7745.0,10156.0,262.0,0,0,0,0,0,0,1,1
11,48277137,16526.0,9853.0,949.0,4525.0,0,0,0,0,1,0,0,131
12,46375164,69027.0,32509.0,7304.0,6158.0,0,0,0,1,0,0,0,33
13,45787511,41316.0,15294.0,5683.0,4983.0,0,0,0,1,0,0,0,48639
14,41299345,112388.0,11764.0,2668.0,347.0,0,0,0,0,0,0,1,46
15,40165992,216083.0,7935.0,15028.0,248.0,0,0,0,0,0,0,1,30
16,34958661,43647.0,19523.0,1617.0,169.0,0,0,1,0,0,0,0,160
17,32875902,188279.0,18727.0,17996.0,280.0,0,0,0,1,0,0,0,54
18,32833034,11392.0,10122.0,973.0,410.0,0,0,0,0,1,0,0,6
19,32330987,11537.0,5284.0,982.0,306.0,0,0,0,1,0,0,0,31
20,31301484,52480.0,11547.0,5526.0,5462.0,0,0,0,0,0,0,1,2045
21,30918785,57266.0,15235.0,1659.0,173.0,0,0,1,0,0,0,0,34
22,29120702,84130.0,4480.0,4751.0,158.0,0,0,0,0,0,0,1,27
23,27472475,140661.0,49449.0,28877.0,230.0,0,0,0,0,0,0,1,30
25,25797160,105514.0,13871.0,26112.0,87.0,0,0,0,1,0,0,0,21
26,24591440,30590.0,5231.0,1727.0,281.0,0,0,0,1,0,0,0,117
27,23721972,16237.0,13077.0,838.0,256.0,0,0,0,0,0,0,1,2
28,23301541,122028.0,14868.0,32060.0,937.0,0,0,0,1,0,0,0,76
29,22706474,92225.0,6713.0,2263.0,344.0,0,0,0,0,0,0,1,12
31,21227363,31625.0,5740.0,1361.0,472.0,0,0,0,1,0,0,0,317
32,20833587,9461.0,6602.0,485.0,460.0,0,0,0,1,0,0,0,5
33,20554081,15322.0,4666.0,1303.0,186.0,0,0,0,0,1,0,0,3
34,20414957,44160.0,2102.0,4668.0,233.0,0,0,0,0,0,0,1,24
35,19620997,54535.0,8775.0,3857.0,264.0,0,0,0,1,0,0,0,36
37,19344377,70260.0,4345.0,4179.0,231.0,0,0,0,0,0,0,1,1
38,19221442,160147.0,12493.0,12622.0,191.0,0,0,0,1,0,0,0,42
39,19146480,35016.0,4151.0,1117.0,363.0,0,0,0,1,0,0,0,985
40,19096132,69809.0,6723.0,4528.0,658.0,0,0,0,1,0,0,0,10
41,17210519,30947.0,5720.0,2500.0,3734.0,0,0,0,1,0,0,0,17
42,17070057,98594.0,4234.0,7276.0,189.0,0,0,0,0,1,0,0,1583846
43,16111014,10682.0,5334.0,260.0,543.0,0,0,0,1,0,0,0,54
44,15938298,92650.0,4001.0,4956.0,367.0,0,0,0,0,0,0,1,71
45,15265236,36463.0,3105.0,1351.0,696.0,0,0,0,1,0,0,0,666
46,15055473,7657.0,4469.0,210.0,109.0,0,0,0,1,0,0,0,92
47,15014236,18520.0,3770.0,1794.0,100.0,0,0,0,1,0,0,0,31
48,14910425,10715.0,7428.0,641.0,335.0,0,0,0,1,0,0,0,85
49,14881577,20211.0,5325.0,2131.0,467.0,0,1,0,0,0,0,0,2
50,14512386,84129.0,3907.0,2111.0,378.0,0,0,0,1,0,0,0,16
51,14427720,20798.0,5927.0,1418.0,183.0,0,0,0,1,0,0,0,17
52,14426587,20796.0,5927.0,1418.0,183.0,0,0,1,0,0,0,0,17
53,14370077,44576.0,2798.0,1525.0,300.0,0,0,0,0,0,0,1,31
54,14158016,23195.0,1025.0,576.0,268.0,0,0,0,0,0,0,1,5
55,14132073,22040.0,30235.0,23738.0,199.0,0,0,0,0,0,0,1,3102
56,14096149,45857.0,5582.0,1074.0,311.0,0,0,0,0,0,0,1,1
57,13966920,130494.0,7740.0,24411.0,2735.0,0,0,0,0,0,0,0,67
58,13392505,75496.0,4666.0,5531.0,599.0,0,0,0,1,0,0,0,30
59,13372980,19020.0,4020.0,1572.0,2684.0,0,0,0,1,0,0,0,5
60,13256429,20907.0,13530.0,563.0,3349.0,0,0,0,0,1,0,0,11
61,13082495,85994.0,4854.0,6211.0,256.0,0,0,0,1,0,0,0,12
62,12983991,21962.0,4687.0,1203.0,60.0,0,0,0,1,0,0,0,84
63,12662174,42288.0,3702.0,3594.0,3545.0,0,0,1,0,0,0,0,69
65,12414342,57523.0,12658.0,8588.0,245.0,0,0,0,0,0,0,1,56
66,12372223,2501.0,2363.0,182.0,105.0,0,0,0,1,0,0,0,24
67,12359519,28516.0,13373.0,3686.0,103.0,0,0,0,1,0,0,0,7
68,12331086,61324.0,1681.0,7774.0,827.0,0,0,0,0,0,0,1,2
69,12324176,26361.0,1344.0,1302.0,300.0,0,0,0,0,0,0,1,296161
70,12217441,68365.0,5182.0,3137.0,283.0,0,0,0,0,0,0,1,7
71,12211237,14914.0,8038.0,852.0,510.0,0,0,0,1,0,0,0,1
72,12201482,60809.0,3998.0,1308.0,416.0,0,0,0,1,0,0,0,5
73,12104341,11820.0,3825.0,1847.0,170.0,0,0,0,0,0,0,1,228
74,12022434,16324.0,2444.0,752.0,465.0,0,0,0,1,0,0,0,450
75,12006281,2840.0,2502.0,285.0,218.0,0,0,0,1,0,0,0,481
76,11991184,48324.0,5808.0,5167.0,2664.0,0,0,0,1,0,0,0,36
77,11912152,9213.0,3653.0,971.0,222.0,0,1,0,0,0,0,0,7
78,11886135,7083.0,5339.0,107.0,204.0,0,0,0,1,0,0,0,1
79,11593080,45735.0,8031.0,17485.0,222.0,0,0,0,1,0,0,0,18
80,11511883,14193.0,966.0,939.0,303.0,0,0,0,0,0,0,1,42
81,11495954,19826.0,3543.0,1677.0,3087.0,0,0,0,1,0,0,0,20
82,11491843,11531.0,4492.0,720.0,668.0,0,0,0,0,1,0,0,31
83,11450584,7834.0,4091.0,364.0,1242.0,0,0,0,1,0,0,0,72
84,11418439,23841.0,2279.0,3006.0,1102.0,0,0,0,0,1,0,0,2
85,11372578,9878.0,5379.0,792.0,2885.0,0,0,0,0,1,0,0,1
87,11215647,73463.0,4389.0,2586.0,271.0,0,0,0,1,0,0,0,7
88,11118898,50540.0,3732.0,4382.0,382.0,0,0,0,1,0,0,0,23
89,11022988,53720.0,3718.0,1522.0,356.0,0,0,0,0,0,0,1,2
90,10912161,25471.0,2411.0,3433.0,631.0,0,0,0,1,0,0,0,20
91,10850761,11443.0,5714.0,539.0,108.0,0,0,0,1,0,0,0,133
92,10760154,3882.0,2098.0,210.0,285.0,0,1,0,0,0,0,0,117
93,10607744,121157.0,3973.0,75045.0,255.0,0,0,0,0,0,0,1,39
94,10551833,82995.0,1999.0,5312.0,1747.0,0,0,0,0,1,0,0,5
95,10422769,14709.0,3287.0,632.0,308.0,0,0,0,1,0,0,0,724
96,10310997,23876.0,2269.0,2355.0,5433.0,0,0,0,0,0,0,1,25
97,10263984,48017.0,3013.0,3232.0,238.0,0,0,0,1,0,0,0,14
